country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
RS     ;TP-IN-CDB04;230001;2021-02-26 14:51;     1
RS     ;TP-IN-CDB04;230002;2021-02-26 14:35;     1
RS     ;TP-IN-CDB04;230003;2021-02-26 14:25;     1
RS     ;TP-IN-CDB04;230004;2021-02-26 14:33;     1
RS     ;TP-IN-CDB04;230005;2021-02-26 14:50;     1
RS     ;TP-IN-CDB04;230006;2021-02-26 14:25;     1
RS     ;TP-IN-CDB04;230007;2021-02-26 14:39;     1
RS     ;TP-IN-CDB04;230008;2021-02-26 14:33;     1
RS     ;TP-IN-CDB04;230009;2021-02-26 14:36;     1
RS     ;TP-IN-CDB04;230010;2021-02-26 14:27;     1
RS     ;TP-IN-CDB04;230011;2021-02-26 14:33;     1
RS     ;TP-IN-CDB04;230012;2021-02-26 14:51;     1
RS     ;TP-IN-CDB04;230013;2021-02-26 14:52;     1
RS     ;TP-IN-CDB04;230014;2021-02-26 14:26;     1
RS     ;TP-IN-CDB04;230015;2021-02-26 14:27;     1
RS     ;TP-IN-CDB04;230016;2021-02-26 14:49;     1
RS     ;TP-IN-CDB04;230019;2021-01-26 12:26;     1
RS     ;TP-IN-CDB04;230021;2021-02-26 14:49;     1
RS     ;TP-IN-CDB04;230022;2021-02-09 13:19;     1
RS     ;TP-IN-CDB04;230024;2021-02-09 09:25;     1
RS     ;TP-IN-CDB04;230025;2021-02-26 14:33;     1
RS     ;TP-IN-CDB04;230026;2021-02-26 14:48;     1
RS     ;TP-IN-CDB04;-IN-CD;NULL            ;     1

(23 rows affected)
