country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
BG     ;TP-IN-CDB04;210001;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210002;2021-02-26 14:49;     1
BG     ;TP-IN-CDB04;210003;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210005;2021-02-26 14:42;     1
BG     ;TP-IN-CDB04;210006;2021-02-26 14:36;     1
BG     ;TP-IN-CDB04;210007;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210008;2021-02-26 14:27;     1
BG     ;TP-IN-CDB04;210009;2021-02-26 14:36;     1
BG     ;TP-IN-CDB04;210010;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210011;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210012;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210013;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210014;2021-02-26 14:46;     1
BG     ;TP-IN-CDB04;210015;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210016;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210017;2021-02-26 10:04;     1
BG     ;TP-IN-CDB04;210018;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210019;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210020;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210021;2021-02-26 14:47;     1
BG     ;TP-IN-CDB04;210022;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210023;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210024;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210025;2021-02-26 14:53;     1
BG     ;TP-IN-CDB04;210026;2021-02-26 14:27;     1
BG     ;TP-IN-CDB04;210027;2021-02-26 14:48;     1
BG     ;TP-IN-CDB04;210028;2021-02-26 14:30;     1
BG     ;TP-IN-CDB04;210029;2021-02-26 14:27;     1
BG     ;TP-IN-CDB04;210030;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210031;2021-02-26 14:48;     1
BG     ;TP-IN-CDB04;210032;2021-02-26 14:28;     1
BG     ;TP-IN-CDB04;210033;2021-02-26 14:47;     1
BG     ;TP-IN-CDB04;210034;2021-02-26 14:47;     1
BG     ;TP-IN-CDB04;210035;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210036;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210037;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210038;2021-02-26 14:28;     1
BG     ;TP-IN-CDB04;210040;2021-02-26 14:52;     1
BG     ;TP-IN-CDB04;210041;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210042;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210043;2021-02-26 14:45;     1
BG     ;TP-IN-CDB04;210044;2021-02-26 14:36;     1
BG     ;TP-IN-CDB04;210045;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210046;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210047;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210048;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210049;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210050;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210051;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210052;2021-02-26 14:49;     1
BG     ;TP-IN-CDB04;210053;2021-02-26 14:49;     1
BG     ;TP-IN-CDB04;210054;2021-02-26 14:48;     1
BG     ;TP-IN-CDB04;210055;2021-02-26 14:30;     1
BG     ;TP-IN-CDB04;210056;2021-02-26 14:33;     1
BG     ;TP-IN-CDB04;210057;2021-02-26 14:48;     1
BG     ;TP-IN-CDB04;210058;2021-02-26 14:48;     1
BG     ;TP-IN-CDB04;210059;2021-02-26 14:48;     1
BG     ;TP-IN-CDB04;210060;2021-02-26 14:35;     1
BG     ;TP-IN-CDB04;210061;2021-02-26 14:34;     1
BG     ;TP-IN-CDB04;210062;2021-02-26 14:26;     1
BG     ;TP-IN-CDB04;210063;2020-10-29 10:32;     1
BG     ;TP-IN-CDB04;210064;2021-02-26 14:43;     1
BG     ;TP-IN-CDB04;210065;2021-02-26 14:41;     1
BG     ;TP-IN-CDB04;210066;2021-02-26 14:43;     1
BG     ;TP-IN-CDB04;210067;2021-02-26 14:50;     1
BG     ;TP-IN-CDB04;210068;2021-02-26 14:28;     1
BG     ;TP-IN-CDB04;210070;2021-02-26 14:39;     1
BG     ;TP-IN-CDB04;210071;2021-02-26 14:47;     1
BG     ;TP-IN-CDB04;210072;2021-02-26 14:31;     1
BG     ;TP-IN-CDB04;210073;2021-02-26 14:46;     1
BG     ;TP-IN-CDB04;210074;2021-02-26 14:32;     1
BG     ;TP-IN-CDB04;210075;2021-02-26 14:49;     1
BG     ;TP-IN-CDB04;-IN-CD;NULL            ;     1

(73 rows affected)
